CityID,City,State,Country,Subregion,Region
412,Lancaster,Lancashire,England,Northern Europe,Europe
413,Soho ,London,England,Northern Europe,Europe
414,Kirkby,Merseyside,England,Northern Europe,Europe
415,Liverpool,Merseyside,England,Northern Europe,Europe
416,W. York,North Yorkshire,England,Northern Europe,Europe
417,York,North Yorkshire,England,Northern Europe,Europe
418,Oxford,Oxfordshire,England,Northern Europe,Europe
419,Oxon,Oxfordshire,England,Northern Europe,Europe
420,Stoke-on-Trent,Staffordshire,England,Northern Europe,Europe
421,Molesey ,Surrey,England,Northern Europe,Europe
422,Newcastle ,Tyne and Wear,England,Northern Europe,Europe
423,Birmingham,West Midlands,England,Northern Europe,Europe
424,Crawley ,West Sussex,England,Northern Europe,Europe
425,Leeds,West Yorkshire,England,Northern Europe,Europe
426,Tallinn ,Harju,Estonia,Northern Europe,Europe
427,Kohtla-Järve ,Ida-Viru,Estonia,Northern Europe,Europe
428,Narva ,Ida-Viru,Estonia,Northern Europe,Europe
429,Pärnu ,Pärnu,Estonia,Northern Europe,Europe
430,Tartu ,Tartu,Estonia,Northern Europe,Europe
431,Jyväskylä ,Jyväskylä,Finland,Northern Europe,Europe
432,Oulu ,North Ostrobothnia,Finland,Northern Europe,Europe
433,Kuopio ,North Savo,Finland,Northern Europe,Europe
434,Lahti ,Päijänne Tavastia,Finland,Northern Europe,Europe
435,Tampere ,Pirkanmaa,Finland,Northern Europe,Europe
436,Pori ,Satakunta,Finland,Northern Europe,Europe
437,Turku ,Turku,Finland,Northern Europe,Europe
438,Espoo ,Uusimaa,Finland,Northern Europe,Europe
439,Helsinki ,Uusimaa,Finland,Northern Europe,Europe
440,Vantaa ,Uusimaa,Finland,Northern Europe,Europe
441,Nice,Alpes-Maritimes,France,Western Europe,Europe
442,Les Ulis,Essonne,France,Western Europe,Europe
443,Morangis,Essonne,France,Western Europe,Europe
444,Verrieres Le Buisson,Essonne,France,Western Europe,Europe
445,Colomiers,Haute-Garonne,France,Western Europe,Europe
446,Boulogne-Billancourt,Hauts de Seine,France,Western Europe,Europe
447,Colombes,Hauts de Seine,France,Western Europe,Europe
448,Courbevoie,Hauts de Seine,France,Western Europe,Europe
449,Paris La Defense,Hauts de Seine,France,Western Europe,Europe
450,Sèvres,Hauts de Seine,France,Western Europe,Europe
451,Suresnes,Hauts de Seine,France,Western Europe,Europe
452,Paris,Île-de-France,France,Western Europe,Europe
453,Orleans,Loiret,France,Western Europe,Europe
454,Metz,Moselle,France,Western Europe,Europe
455,Croix,Nord,France,Western Europe,Europe
456,Dunkerque,Nord,France,Western Europe,Europe
457,Lille,Nord,France,Western Europe,Europe
458,Roncq,Nord,France,Western Europe,Europe
459,Roubaix,Nord,France,Western Europe,Europe
460,Villeneuve-d'Ascq,Nord,France,Western Europe,Europe
461,Boulogne-sur-Mer,Pas de Calais,France,Western Europe,Europe
462,Lieusaint,Seine et Marne,France,Western Europe,Europe
463,Roissy en Brie,Seine et Marne,France,Western Europe,Europe
464,Bobigny,Seine Saint Denis,France,Western Europe,Europe
465,Drancy,Seine Saint Denis,France,Western Europe,Europe
466,Pantin,Seine Saint Denis,France,Western Europe,Europe
467,Saint-Denis,Seine Saint Denis,France,Western Europe,Europe
468,Tremblay-en-France,Seine Saint Denis,France,Western Europe,Europe
469,Saint Ouen,Somme,France,Western Europe,Europe
470,Orly,Val de Marne,France,Western Europe,Europe
471,Cergy,Val d'Oise,France,Western Europe,Europe
472,Chatou,Yveline,France,Western Europe,Europe
473,Saint Germain en Laye,Yveline,France,Western Europe,Europe
474,Versailles,Yveline,France,Western Europe,Europe
475,Stuttgart,Baden-Wuerttemberg,Germany,Western Europe,Europe
476,Erlangen,Bavaria,Germany,Western Europe,Europe
477,Hof,Bavaria,Germany,Western Europe,Europe
478,Ingolstadt,Bavaria,Germany,Western Europe,Europe
479,Munich,Bavaria,Germany,Western Europe,Europe
480,Poing,Bavaria,Germany,Western Europe,Europe
481,Berlin,Berlin,Germany,Western Europe,Europe
